product,factor1,factor2,comparison_est
100,10,10,10
100,20,5,80
100,25,4,88
100,50,2,98
100,100,1,100
10000,100,100,100
10000,125,80,3680
10000,200,50,7550
10000,250,40,8440
10000,400,25,9400
10000,500,20,9620
10000,625,16,9760
10000,1000,10,9910
10000,1250,8,9944
10000,2000,5,9980
10000,2500,4,9988
10000,5000,2,9998
10000,10000,1,10000
1000000,1000,1000,1000
1000000,1250,800,360800
1000000,1600,625,610000
1000000,2000,500,750500
1000000,2500,400,840400
1000000,3125,320,897920
1000000,4000,250,937750
1000000,5000,200,960200
1000000,6250,160,974560
1000000,8000,125,984500
1000000,10000,100,990100
1000000,12500,80,993680
1000000,15625,64,995968
1000000,20000,50,997550
1000000,25000,40,998440
1000000,31250,32,999008
1000000,40000,25,999400
1000000,50000,20,999620
1000000,62500,16,999760
1000000,100000,10,999910
1000000,125000,8,999944
1000000,200000,5,999980
1000000,250000,4,999988
1000000,500000,2,999998
1000000,1000000,1,1000000
100000000,10000,10000,10000
100000000,12500,8000,36008000
100000000,15625,6400,59046400
100000000,16000,6250,60943750
100000000,20000,5000,75005000
100000000,25000,4000,84004000
100000000,31250,3200,89763200
100000000,32000,3125,90237500
100000000,40000,2500,93752500
100000000,50000,2000,96002000
100000000,62500,1600,97441600
100000000,78125,1280,98362880
100000000,80000,1250,98438750
100000000,100000,1000,99001000
100000000,125000,800,99360800
100000000,156250,640,99591040
100000000,160000,625,99610000
100000000,200000,500,99750500
100000000,250000,400,99840400
100000000,312500,320,99897920
100000000,390625,256,99934720
100000000,400000,250,99937750
100000000,500000,200,99960200
100000000,625000,160,99974560
100000000,781250,128,99983744
100000000,800000,125,99984500
100000000,1000000,100,99990100
100000000,1250000,80,99993680
100000000,1562500,64,99995968
100000000,2000000,50,99997550
100000000,2500000,40,99998440
100000000,3125000,32,99999008
100000000,4000000,25,99999400
100000000,5000000,20,99999620
100000000,6250000,16,99999760
100000000,10000000,10,99999910
100000000,12500000,8,99999944
100000000,20000000,5,99999980
100000000,25000000,4,99999988
100000000,50000000,2,99999998
100000000,100000000,1,100000000
10000000000,100000,100000,100000
10000000000,125000,80000,3600080000
10000000000,128000,78125,3896562500
10000000000,156250,64000,5904064000
10000000000,160000,62500,6093812500
10000000000,200000,50000,7500050000
10000000000,250000,40000,8400040000
10000000000,312500,32000,8976032000
10000000000,320000,31250,9023468750
10000000000,390625,25600,9344665600
10000000000,400000,25000,9375025000
10000000000,500000,20000,9600020000
10000000000,625000,16000,9744016000
10000000000,640000,15625,9755875000
10000000000,781250,12800,9836172800
10000000000,800000,12500,9843762500
10000000000,1000000,10000,9900010000
10000000000,1250000,8000,9936008000
10000000000,1562500,6400,9959046400
10000000000,1600000,6250,9960943750
10000000000,1953125,5120,9973790720
10000000000,2000000,5000,9975005000
10000000000,2500000,4000,9984004000
10000000000,3125000,3200,9989763200
10000000000,3200000,3125,9990237500
10000000000,3906250,2560,9993448960
10000000000,4000000,2500,9993752500
10000000000,5000000,2000,9996002000
10000000000,6250000,1600,9997441600
10000000000,7812500,1280,9998362880
10000000000,8000000,1250,9998438750
10000000000,9765625,1024,9998952448
10000000000,10000000,1000,9999001000
10000000000,12500000,800,9999360800
10000000000,15625000,640,9999591040
10000000000,16000000,625,9999610000
10000000000,19531250,512,9999738368
10000000000,20000000,500,9999750500
10000000000,25000000,400,9999840400
10000000000,31250000,320,9999897920
10000000000,39062500,256,9999934720
10000000000,40000000,250,9999937750
10000000000,50000000,200,9999960200
10000000000,62500000,160,9999974560
10000000000,78125000,128,9999983744
10000000000,80000000,125,9999984500
10000000000,100000000,100,9999990100
10000000000,125000000,80,9999993680
10000000000,156250000,64,9999995968
10000000000,200000000,50,9999997550
10000000000,250000000,40,9999998440
10000000000,312500000,32,9999999008
10000000000,400000000,25,9999999400
10000000000,500000000,20,9999999620
10000000000,625000000,16,9999999760
10000000000,1000000000,10,9999999910
10000000000,1250000000,8,9999999944
10000000000,2000000000,5,9999999980
10000000000,2500000000,4,9999999988
10000000000,5000000000,2,9999999998
10000000000,10000000000,1,10000000000
