test_id,text_length,pattern_length,comparisons,wall_clock_time,cpu_time,optimization,product
0,20,5,80,0,1.349e-06,O2,100
1,25,4,88,0,8.03e-07,O2,100
2,50,2,98,0,7.45e-07,O2,100
3,100,1,100,0,7.61e-07,O2,100
4,1000,10,9910,0,1.1284e-05,O2,10000
5,1250,8,9944,0,1.1169e-05,O2,10000
6,2500,4,9988,0,1.098e-05,O2,10000
7,10000,1,10000,0,1.1051e-05,O2,10000
8,62500,16,999760,0,0.001035911,O2,1000000
9,125000,8,999944,0,0.001037011,O2,1000000
10,250000,4,999988,0,0.001063896,O2,1000000
11,1000000,1,1000000,0,0.001035073,O2,1000000
12,390625,256,99934720,0,0.106815816,O2,100000000
13,625000,160,99974560,0,0.108067662,O2,100000000
14,800000,125,99984500,0,0.109207598,O2,100000000
15,1000000,100,99990100,0,0.110729768,O2,100000000
16,800000,12500,9843762500,10,10.098022921,O2,10000000000
17,1000000,10000,9900010000,10,10.180524653,O2,10000000000
18,1562500,6400,9959046400,10,10.274702414,O2,10000000000
19,2500000,4000,9984004000,10,10.260356176,O2,10000000000
0,20,5,80,0,1.587e-06,O0,100
1,25,4,88,0,1.012e-06,O0,100
2,50,2,98,0,9.82e-07,O0,100
3,100,1,100,0,1.039e-06,O0,100
4,1000,10,9910,0,3.3833e-05,O0,10000
5,1250,8,9944,0,3.3829e-05,O0,10000
6,2500,4,9988,0,3.4049e-05,O0,10000
7,10000,1,10000,0,3.4862e-05,O0,10000
8,62500,16,999760,0,0.003277526,O0,1000000
9,125000,8,999944,0,0.003232104,O0,1000000
10,250000,4,999988,0,0.00349179,O0,1000000
11,1000000,1,1000000,0,0.003364089,O0,1000000
12,390625,256,99934720,0,0.327548581,O0,100000000
13,625000,160,99974560,0,0.332259822,O0,100000000
14,800000,125,99984500,0,0.337605708,O0,100000000
15,1000000,100,99990100,0,0.335922218,O0,100000000
16,800000,12500,9843762500,31,31.906486775,O0,10000000000
17,1000000,10000,9900010000,32,32.910635737,O0,10000000000
18,1562500,6400,9959046400,33,33.194129918,O0,10000000000
19,2500000,4000,9984004000,32,32.557539726,O0,10000000000
